key,true_angle,pred_angle,usage
center,-0.1596244,-0.22741496562957764,none
right,-0.3596244,-0.3373050093650818,none
left,0.04037560000000001,-0.10674731433391571,none
center,-0.1596244,-0.183686763048172,none
right,-0.3596244,-0.34689605236053467,none
left,0.04037560000000001,-0.03210920840501785,none
center,-0.1596244,-0.21157322824001312,none
right,-0.3596244,-0.321525901556015,train
left,0.04037560000000001,-0.019098632037639618,train
center,-0.1596244,-0.24247775971889496,none
right,-0.3596244,-0.33797383308410645,none
left,0.04037560000000001,-0.0034755803644657135,none
center,-0.1596244,-0.25190919637680054,none
right,-0.3596244,-0.37529873847961426,none
left,0.04037560000000001,-0.010867748409509659,train
center,-0.1596244,-0.16067782044410706,none
right,-0.3596244,-0.42875051498413086,none
left,0.04037560000000001,-0.016452770680189133,none
center,-0.1596244,-0.12192948162555695,none
right,-0.3596244,-0.4092921316623688,none
left,0.2,0.03641052544116974,none
center,0.0,-0.04605816677212715,none
right,-0.2,-0.36057960987091064,none
left,0.2,0.022130966186523438,none
center,0.0,-0.04383834823966026,none
right,-0.2,-0.32955044507980347,none
left,0.2,0.0019276104867458344,none
center,0.0,-0.14572106301784515,none
right,-0.2,-0.3835583031177521,none
left,0.2,0.04895107448101044,none
center,0.0,-0.11952809989452362,none
right,-0.2,-0.3704744577407837,none
left,0.2,0.0028156042098999023,none
center,0.0,-0.10990585386753082,none
right,-0.2,-0.294504851102829,none
left,0.18591549000000002,-0.011421222239732742,train
center,-0.01408451,-0.052833009511232376,none
right,-0.21408451,-0.337690144777298,none
left,0.12488263000000001,0.0048270076513290405,valid
center,-0.07511737,-0.0905042290687561,none
right,-0.27511737,-0.36259031295776367,none
left,0.08262910000000001,-0.013220202177762985,none
center,-0.1173709,-0.11144673824310303,none
right,-0.3173709,-0.2687811851501465,none
left,0.05446010000000001,-0.10351346433162689,none
center,-0.1455399,-0.2685420513153076,none
right,-0.3455399,-0.37532371282577515,train
left,0.04507040000000001,0.0023670122027397156,none
center,-0.1549296,-0.23329804837703705,none
right,-0.3549296,-0.3924133777618408,none
left,0.04507040000000001,-0.024253156036138535,train
center,-0.1549296,-0.18250659108161926,none
right,-0.3549296,-0.37425658106803894,none
left,0.04507040000000001,-0.10097594559192657,none
center,-0.1549296,-0.1854950338602066,none
right,-0.3549296,-0.35210588574409485,none
left,0.04507040000000001,-0.06769716739654541,none
center,-0.1549296,-0.2858898937702179,none
right,-0.3549296,-0.27091699838638306,none
left,0.04507040000000001,-0.07142031192779541,none
center,-0.1549296,-0.24682928621768951,none
right,-0.3549296,-0.32818442583084106,none
left,0.04507040000000001,-0.017559275031089783,none
center,-0.1549296,-0.26999104022979736,none
right,-0.3549296,-0.3513440787792206,none
left,0.04507040000000001,0.0017427951097488403,none
center,-0.1549296,-0.1899036020040512,none
right,-0.3549296,-0.3077719211578369,none
left,0.04507040000000001,-0.010830499231815338,none
center,-0.1549296,-0.20747171342372894,none
right,-0.3549296,-0.3470068871974945,none
left,0.2,-0.009935706853866577,none
center,0.0,-0.19403564929962158,none
right,-0.2,-0.3383202850818634,none
left,0.2,-0.04711117222905159,none
center,0.0,-0.1991141438484192,train
right,-0.2,-0.30806997418403625,none
left,0.2,-0.02946992591023445,none
center,0.0,-0.19240251183509827,none
right,-0.2,-0.3345879912376404,none
left,0.2,-0.06638692319393158,train
center,0.0,-0.23378820717334747,none
right,-0.2,-0.3582097887992859,none
left,0.2,-0.15157242119312286,none
center,0.0,-0.2676350176334381,train
right,-0.2,-0.33307135105133057,none
left,0.2,-0.07744075357913971,none
center,0.0,-0.2892126739025116,none
right,-0.2,-0.2532365322113037,none
left,0.2,-0.11165916919708252,none
center,0.0,-0.2854178249835968,none
right,-0.2,-0.38633620738983154,none
left,0.2,-0.16308869421482086,none
center,0.0,-0.27492618560791016,none
right,-0.2,-0.3429907262325287,none
left,0.18591549000000002,-0.1366906613111496,none
center,-0.01408451,-0.2340446561574936,none
right,-0.21408451,-0.3620776832103729,none
left,0.12018779000000002,-0.16419030725955963,none
center,-0.07981221,-0.3155447840690613,none
right,-0.27981221,-0.38506826758384705,none
left,0.04507040000000001,-0.2762303352355957,none
center,-0.1549296,-0.31409552693367004,none
right,-0.3549296,-0.39262884855270386,train
left,0.02159620000000001,-0.07288259267807007,none
center,-0.1784038,-0.31704947352409363,none
right,-0.3784038,-0.3356674313545227,none
left,0.012206600000000012,-0.12651659548282623,none
center,-0.1877934,-0.250874787569046,none
right,-0.3877934,-0.3993039131164551,none
left,0.002816900000000011,-0.1261553019285202,none
center,-0.1971831,-0.3468656837940216,none
right,-0.3971831,-0.4183425307273865,none
left,-0.00657279999999999,-0.15903255343437195,none
center,-0.2065728,-0.28436756134033203,none
right,-0.4065728,-0.43808239698410034,train
left,-0.00657279999999999,-0.0500166155397892,none
center,-0.2065728,-0.18443240225315094,none
right,-0.4065728,-0.3139433264732361,none
left,-0.00657279999999999,-0.07583919167518616,none
center,-0.2065728,-0.23990653455257416,none
right,-0.4065728,-0.268379807472229,train
left,-0.00657279999999999,-0.05441742017865181,none
center,-0.2065728,-0.15280181169509888,none
right,-0.4065728,-0.2560017704963684,none
left,0.2,-0.05499907210469246,none
center,0.0,-0.1690080761909485,none
right,-0.2,-0.34568625688552856,none
left,0.2,-0.028099551796913147,none
center,0.0,-0.22210533916950226,none
right,-0.2,-0.2912672162055969,none
left,0.2,-0.019498515874147415,none
center,0.0,-0.2019858956336975,none
right,-0.2,-0.3273944556713104,none
left,0.2,-0.12842707335948944,none
center,0.0,-0.2263658046722412,none
right,-0.2,-0.21024228632450104,none
left,0.2,-0.10181091725826263,none
center,0.0,-0.2216804474592209,none
right,-0.2,-0.2809463441371918,none
left,0.2,-0.14054889976978302,none
center,0.0,-0.28357401490211487,none
right,-0.2,-0.29255175590515137,none
left,0.2,-0.11107650399208069,none
center,0.0,-0.2892865836620331,none
right,-0.2,-0.3543585538864136,none
left,0.2,-0.14411361515522003,none
center,0.0,-0.2970902621746063,none
right,-0.2,-0.34876900911331177,none
left,0.16713615,-0.03808552771806717,none
center,-0.03286385,-0.3277135491371155,none
right,-0.23286385,-0.3012668490409851,none
left,0.09201880000000001,-0.07876792550086975,none
center,-0.1079812,-0.301593154668808,none
right,-0.3079812,-0.346414178609848,none
left,0.02629110000000001,-0.15273849666118622,none
center,-0.1737089,-0.25052815675735474,none
right,-0.3737089,-0.3466152250766754,none
left,0.002816900000000011,0.01594579592347145,none
center,-0.1971831,-0.26615434885025024,none
right,-0.3971831,-0.3350360691547394,none
left,-0.00657279999999999,-0.040575865656137466,none
center,-0.2065728,-0.17058248817920685,none
right,-0.4065728,-0.38662946224212646,none
left,-0.00657279999999999,-0.12147237360477448,none
center,-0.2065728,-0.2706102430820465,none
right,-0.4065728,-0.2783338725566864,none
left,-0.00657279999999999,-0.038617026060819626,none
center,-0.2065728,-0.19816111028194427,none
right,-0.4065728,-0.3083394765853882,none
left,-0.00657279999999999,-0.1700850874185562,none
center,-0.2065728,-0.19456808269023895,none
right,-0.4065728,-0.304879367351532,none
left,-0.00657279999999999,-0.06088812276721001,none
center,-0.2065728,-0.21138876676559448,none
right,-0.4065728,-0.1873214989900589,train
left,0.2,0.10152125358581543,none
center,0.0,-0.16063357889652252,none
right,-0.2,-0.34467488527297974,none
left,0.2,0.04749463126063347,none
center,0.0,-0.19582821428775787,none
right,-0.2,-0.2278907150030136,none
left,0.2,-0.002888660877943039,none
center,0.0,-0.1374329775571823,valid
right,-0.2,-0.26846691966056824,none
left,0.2,-0.06566055119037628,none
center,0.0,-0.1484292596578598,train
right,-0.2,-0.16680876910686493,none
left,0.2,-0.03803643211722374,none
center,0.0,-0.17464207112789154,none
right,-0.2,-0.18109074234962463,none
left,0.2,-0.09091992676258087,none
center,0.0,-0.17794184386730194,none
right,-0.2,-0.266313374042511,none
left,0.2,-0.06168472394347191,none
center,0.0,-0.2428116649389267,none
right,-0.2,-0.21067862212657928,none
left,0.2,-0.17275875806808472,none
center,0.0,-0.18883447349071503,none
right,-0.2,-0.3039366602897644,none
left,0.2,-0.11675587296485901,none
center,0.0,-0.2543220520019531,none
right,-0.2,-0.36498233675956726,none
left,0.14835681,-0.12687323987483978,none
center,-0.05164319,-0.3430592119693756,none
right,-0.25164319,-0.29440900683403015,none
left,0.08732390000000001,-0.15335679054260254,none
center,-0.1126761,-0.3119216561317444,none
right,-0.3126761,-0.37606894969940186,none
left,0.03568080000000001,-0.028216321021318436,none
center,-0.1643192,-0.24365536868572235,none
right,-0.3643192,-0.3313952386379242,none
left,0.03098590000000001,-0.051675375550985336,none
center,-0.1690141,-0.21509923040866852,none
right,-0.3690141,-0.33355191349983215,train
left,0.02159620000000001,-0.033949241042137146,none
center,-0.1784038,-0.21885009109973907,none
right,-0.3784038,-0.4140007495880127,none
left,0.02159620000000001,-0.05907774344086647,none
center,-0.1784038,-0.20824246108531952,none
right,-0.3784038,-0.3233579993247986,train
left,0.02159620000000001,-0.071417436003685,none
center,-0.1784038,-0.22195252776145935,none
right,-0.3784038,-0.27665436267852783,none
left,0.02159620000000001,-0.0869540274143219,none
center,-0.1784038,-0.25180602073669434,none
right,-0.3784038,-0.33315813541412354,none
left,0.02159620000000001,-0.09892487525939941,none
center,-0.1784038,-0.1965293288230896,none
right,-0.3784038,-0.23130212724208832,none
left,0.02159620000000001,-0.022031910717487335,none
center,-0.1784038,-0.18793973326683044,none
right,-0.3784038,-0.2437683492898941,none
left,0.2,-0.09467805922031403,none
center,0.0,-0.055833276361227036,none
right,-0.2,-0.22810648381710052,none
left,0.2,-0.03445778787136078,none
center,0.0,-0.15897800028324127,none
right,-0.2,-0.18700812757015228,none
left,0.2,0.16867080330848694,none
center,0.0,-0.1440126746892929,none
right,-0.2,-0.1298169195652008,none
left,0.2,-0.005129311233758926,none
center,0.0,-0.21816696226596832,none
right,-0.2,-0.18823587894439697,none
left,0.2,-0.08690154552459717,none
center,0.0,-0.1618499904870987,none
right,-0.2,-0.18926508724689484,none
left,0.2,0.030950766056776047,none
center,0.0,-0.3070119321346283,none
right,-0.2,-0.1911153495311737,none
left,0.18122066,-0.11197389662265778,none
center,-0.01877934,-0.24550025165081024,none
right,-0.21877934000000002,-0.2521440088748932,none
left,0.1342723,-0.11283545196056366,none
center,-0.0657277,-0.3345610201358795,train
right,-0.2657277,-0.31764137744903564,none
left,0.08262910000000001,-0.14048443734645844,none
center,-0.1173709,-0.2682259678840637,none
right,-0.3173709,-0.28721147775650024,none
left,0.04976530000000001,-0.07708698511123657,none
center,-0.1502347,-0.23951159417629242,none
right,-0.3502347,-0.2152995616197586,none
left,0.04507040000000001,-0.05507636442780495,train
center,-0.1549296,-0.21254493296146393,none
right,-0.3549296,-0.3480861783027649,none
left,0.04507040000000001,0.006460506469011307,none
center,-0.1549296,-0.18424148857593536,none
right,-0.3549296,-0.3145514130592346,none
left,0.04507040000000001,-0.0021643005311489105,none
center,-0.1549296,-0.19254659116268158,none
right,-0.3549296,-0.25708916783332825,none
left,0.04507040000000001,-0.07662145793437958,none
center,-0.1549296,-0.17958690226078033,none
right,-0.3549296,-0.2748863101005554,none
left,0.04507040000000001,-0.06158329173922539,none
center,-0.1549296,-0.1027243584394455,none
right,-0.3549296,-0.2366505116224289,train
left,0.04037560000000001,-0.0381472222507,none
center,-0.1596244,-0.07815612852573395,none
right,-0.3596244,-0.22149768471717834,none
left,0.04037560000000001,0.030139751732349396,none
center,-0.1596244,-0.1264476627111435,train
right,-0.3596244,-0.2500040829181671,none
left,0.2,-0.005618922412395477,none
center,0.0,-0.11645393073558807,none
right,-0.2,-0.25418463349342346,none
left,0.2,0.048007864505052567,none
center,0.0,-0.07442323863506317,none
right,-0.2,-0.25265368819236755,none
left,0.2,-0.033597685396671295,none
center,0.0,-0.16642682254314423,none
right,-0.2,-0.23312567174434662,none
left,0.2,0.04120325297117233,none
center,0.0,-0.10182058811187744,none
right,-0.2,-0.16752274334430695,none
left,0.2,0.02035849541425705,none
center,0.0,-0.1298399567604065,none
right,-0.2,-0.27938205003738403,none
left,0.2,-0.05156951770186424,none
center,0.0,-0.16336555778980255,none
right,-0.2,-0.19700175523757935,none
left,0.2,-0.06741684675216675,none
center,0.0,-0.1274111121892929,none
right,-0.2,-0.11710946261882782,none
left,0.2,-0.06689691543579102,none
center,0.0,-0.15161184966564178,none
right,-0.2,-0.1369631588459015,none
left,0.18122066,-0.12290404736995697,none
center,-0.01877934,-0.12051260471343994,none
right,-0.21877934000000002,-0.14501957595348358,none
left,0.1342723,-0.05761580541729927,none
center,-0.0657277,-0.1616860181093216,none
right,-0.2657277,-0.14483554661273956,none
left,0.09201880000000001,-0.030362170189619064,none
center,-0.1079812,-0.2042488306760788,none
right,-0.3079812,-0.1720554083585739,none
left,0.06854460000000001,-0.07561834156513214,none
center,-0.1314554,-0.1711689978837967,none
right,-0.3314554,-0.1389608383178711,none
left,0.05446010000000001,-0.10042840242385864,none
center,-0.1455399,-0.16121144592761993,none
right,-0.3455399,-0.1817188560962677,none
left,0.05446010000000001,-0.07534372806549072,none
center,-0.1455399,-0.1367844194173813,none
right,-0.3455399,-0.2163868397474289,none
left,0.05446010000000001,-0.059516023844480515,none
center,-0.1455399,-0.18753673136234283,none
right,-0.3455399,-0.21102555096149445,valid
left,0.05446010000000001,-0.013448018580675125,none
center,-0.1455399,-0.12886063754558563,none
right,-0.3455399,-0.20717653632164001,none
left,0.05446010000000001,-0.05291389301419258,none
center,-0.1455399,-0.1292610615491867,none
right,-0.3455399,-0.31234410405158997,none
left,0.05446010000000001,-0.008357595652341843,none
center,-0.1455399,-0.13114365935325623,none
right,-0.3455399,-0.2470284253358841,none
left,0.05446010000000001,-0.007086843252182007,none
center,-0.1455399,-0.14635492861270905,valid
right,-0.3455399,-0.24029113352298737,none
left,0.05446010000000001,0.003075595945119858,none
center,-0.1455399,-0.09634608030319214,train
right,-0.3455399,-0.2195291966199875,none
left,0.08262910000000001,0.005124762654304504,none
center,-0.1173709,-0.10720042884349823,none
right,-0.3173709,-0.19923733174800873,none
left,0.11549297000000001,0.004783213138580322,none
center,-0.08450703,-0.17538805305957794,none
right,-0.28450703,-0.2341146320104599,none
left,0.12018779000000002,0.03396841883659363,none
center,-0.07981221,-0.11693798005580902,none
right,-0.27981221,-0.17311367392539978,none
left,0.12018779000000002,-0.019174635410308838,none
center,-0.07981221,-0.07987220585346222,none
right,-0.27981221,-0.24189110100269318,none
left,0.12018779000000002,0.08413881063461304,none
center,-0.07981221,-0.024232223629951477,none
right,-0.27981221,-0.2135387659072876,train
left,0.12018779000000002,0.04507977142930031,none
center,-0.07981221,-0.08153466880321503,none
right,-0.27981221,-0.16826839745044708,none
left,0.12018779000000002,0.017252150923013687,none
center,-0.07981221,-0.05827212706208229,none
right,-0.27981221,-0.2980622351169586,none
left,0.12018779000000002,-0.011428996920585632,none
center,-0.07981221,-0.034597206860780716,none
right,-0.27981221,-0.16617737710475922,none
left,0.12018779000000002,0.0767781138420105,none
center,-0.07981221,-0.046756286174058914,none
right,-0.27981221,-0.14808084070682526,none
left,0.12018779000000002,0.11500301957130432,train
center,-0.07981221,-0.015073679387569427,none
right,-0.27981221,-0.19440627098083496,train
left,0.12018779000000002,0.03321396932005882,none
center,-0.07981221,-0.08531032502651215,none
right,-0.27981221,-0.1324268877506256,none
left,0.12018779000000002,0.03540440648794174,none
center,-0.07981221,-0.054955270141363144,none
right,-0.27981221,-0.10858014225959778,none
left,0.12018779000000002,0.03081084042787552,none
center,-0.07981221,-0.02120772749185562,train
right,-0.27981221,-0.13863712549209595,none
left,0.12018779000000002,0.0882362574338913,none
center,-0.07981221,-0.06236996129155159,none
right,-0.27981221,-0.12182161211967468,none
left,0.12018779000000002,0.015054743736982346,none
center,-0.07981221,-0.02664985880255699,none
right,-0.27981221,-0.12447775900363922,train
left,0.12018779000000002,0.02980642020702362,none
center,-0.07981221,-0.02799658104777336,none
right,-0.27981221,-0.11671331524848938,none
left,0.12018779000000002,-0.04081916809082031,none
center,-0.07981221,-0.05849685147404671,none
right,-0.27981221,-0.07416132092475891,none
left,0.12018779000000002,0.013361863791942596,none
center,-0.07981221,-0.007601212710142136,none
right,-0.27981221,-0.1499803364276886,none
left,0.12018779000000002,-0.09264828264713287,none
center,-0.07981221,-0.03590799495577812,none
right,-0.27981221,-0.06797835230827332,none
left,0.12018779000000002,0.01997862011194229,none
center,-0.07981221,-0.03873259201645851,none
right,-0.27981221,-0.1057308167219162,none
left,0.12018779000000002,-0.14753136038780212,none
center,-0.07981221,-0.06584057211875916,none
right,-0.27981221,-0.10066451132297516,none
left,0.12018779000000002,0.020086031407117844,none
center,-0.07981221,-0.02829565852880478,none
right,-0.27981221,-0.17493504285812378,none
left,0.17652582,0.010417450219392776,none
center,-0.02347418,0.022937685251235962,none
right,-0.22347418000000002,-0.1428477019071579,none
left,0.17652582,0.049838852137327194,none
center,-0.02347418,0.049892324954271317,none
right,-0.22347418000000002,-0.17056044936180115,none
left,0.17652582,0.06845316290855408,none
center,-0.02347418,-0.0149388387799263,none
right,-0.22347418000000002,-0.047381337732076645,none
left,0.18122066,0.07334554195404053,none
center,-0.01877934,-0.008072629570960999,none
right,-0.21877934000000002,-0.11008892953395844,none
left,0.209389671,0.04482865706086159,none
center,0.009389671,0.03335314989089966,none
right,-0.19061032900000002,-0.04785560443997383,none
left,0.209389671,0.024678010493516922,none
center,0.009389671,-0.04679221287369728,none
right,-0.19061032900000002,-0.1581997126340866,none
left,0.209389671,0.06345069408416748,none
center,0.009389671,-0.02097618207335472,none
right,-0.19061032900000002,-0.12765513360500336,none
left,0.209389671,-0.09086260199546814,none
center,0.009389671,-0.011537492275238037,none
right,-0.19061032900000002,-0.04927675798535347,none
left,0.209389671,0.0002144239842891693,none
center,0.009389671,-0.02417834848165512,none
right,-0.19061032900000002,-0.09586051106452942,none
left,0.209389671,-0.016067825257778168,none
center,0.009389671,-0.020443376153707504,none
right,-0.19061032900000002,-0.16482298076152802,none
left,0.209389671,-0.07830433547496796,none
center,0.009389671,0.024355117231607437,none
right,-0.19061032900000002,-0.13782553374767303,none
left,0.209389671,-0.07011532783508301,none
center,0.009389671,-0.03304373472929001,none
right,-0.19061032900000002,-0.08810737729072571,none
left,0.209389671,-0.07565976679325104,none
center,0.009389671,0.0014755390584468842,none
right,-0.19061032900000002,-0.11760878562927246,none
left,0.195305164,0.03081003949046135,none
center,-0.004694836,-0.049999941140413284,valid
right,-0.20469483600000002,-0.08878816664218903,none
left,0.16713615,-0.03548872098326683,none
center,-0.03286385,-0.031316451728343964,none
right,-0.23286385,-0.10537666082382202,none
left,0.1342723,-0.06179839000105858,none
center,-0.0657277,-0.01081300899386406,none
right,-0.2657277,-0.1748483031988144,none
left,0.11549297000000001,-0.04236502945423126,none
center,-0.08450703,0.039505742490291595,none
right,-0.28450703,-0.18809176981449127,train
left,0.11549297000000001,-0.02065432071685791,none
center,-0.08450703,-0.1300918012857437,none
right,-0.28450703,-0.1485094279050827,none
left,0.11549297000000001,0.007006891071796417,none
center,-0.08450703,-0.04726729169487953,none
right,-0.28450703,-0.2564734220504761,none
left,0.11549297000000001,-0.03598693385720253,none
center,-0.08450703,-0.038378652185201645,none
right,-0.28450703,-0.21037261188030243,none
left,0.11549297000000001,-0.0027378760278224945,none
center,-0.08450703,-0.06612315773963928,none
right,-0.28450703,-0.24655933678150177,none
left,0.11549297000000001,-0.031037405133247375,none
center,-0.08450703,-0.01579132303595543,none
right,-0.28450703,-0.21434196829795837,none
left,0.11549297000000001,0.03361780568957329,none
center,-0.08450703,-0.06859347224235535,none
right,-0.28450703,-0.21705348789691925,train
left,0.11549297000000001,-0.020280826836824417,none
center,-0.08450703,-0.04216731712222099,none
right,-0.28450703,-0.19501131772994995,none
left,0.11549297000000001,-0.005677320063114166,none
center,-0.08450703,-0.08355987071990967,none
right,-0.28450703,-0.23806597292423248,none
left,0.11549297000000001,0.027246855199337006,none
center,-0.08450703,-0.034490931779146194,none
right,-0.28450703,-0.20741696655750275,none
left,0.11549297000000001,0.023808632045984268,train
center,-0.08450703,-0.05526969954371452,none
right,-0.28450703,-0.2531711757183075,none
left,0.11549297000000001,0.014559149742126465,none
center,-0.08450703,-0.03508466109633446,none
right,-0.28450703,-0.22483305633068085,none
left,0.11549297000000001,0.0672219768166542,none
center,-0.08450703,-0.04373452812433243,none
right,-0.28450703,-0.16167239844799042,none
left,0.11549297000000001,0.06705701351165771,none
center,-0.08450703,-0.03099628910422325,none
right,-0.28450703,-0.22643353044986725,none
left,0.12957746,0.07361498475074768,none
center,-0.07042254,-0.019804485142230988,none
right,-0.27042254,-0.22777166962623596,none
